year,month,mps_gc_1y,mps_gc_3m,mps_gc_jk,mps_gc_info,mps_all_1y,mps_all_tgt,n_gc,n_speech
2017,4,-0.394000,-0.205000,-0.394000,0.000000,-0.124667,5.750578,1,8
2017,5,0.000000,0.000000,0.000000,0.000000,0.316500,-0.272606,0,16
2017,6,-0.289375,-0.108333,0.000000,-0.289375,0.335208,-0.555225,1,8
2017,7,-0.336000,-0.150000,-0.336000,0.000000,-0.370583,-0.335221,1,4
2017,8,0.000000,0.000000,0.000000,0.000000,0.181250,0.010000,0,2
2017,9,-0.475000,-0.055000,-0.475000,0.000000,0.343250,0.343869,1,14
2017,10,-0.128000,-0.010000,-0.128000,0.000000,-0.102834,0.162123,1,7
2017,11,0.000000,0.000000,0.000000,0.000000,0.362000,1.963913,0,20
2017,12,-0.018750,0.107500,-0.018750,0.000000,-0.003750,-0.106818,1,1
2018,1,-0.263000,-0.020000,0.000000,-0.263000,-0.597000,-0.015789,1,6
2018,2,0.000000,0.000000,0.000000,0.000000,0.153333,-0.357555,0,15
2018,3,-0.248000,-0.010000,-0.248000,0.000000,-1.079667,2.164000,1,6
2018,4,-0.070000,-0.055000,0.000000,-0.070000,0.990000,0.010752,1,7
2018,5,0.000000,0.000000,0.000000,0.000000,0.066667,0.338955,0,15
2018,6,-0.517500,-0.030000,-0.517500,0.000000,-0.835833,0.144188,1,3
2018,7,-0.195000,-0.040000,-0.195000,0.000000,-0.268333,-0.027949,1,4
2018,8,0.000000,0.000000,0.000000,0.000000,-0.005000,-0.053571,0,1
2018,9,-0.210000,-0.065000,0.000000,-0.210000,-0.321000,-0.822568,1,12
2018,10,-0.136667,-0.080000,0.000000,-0.136667,0.263500,0.294699,1,9
2018,11,0.000000,0.000000,0.000000,0.000000,-0.547501,0.117599,0,22
2018,12,-0.280000,-0.060000,-0.280000,0.000000,-0.194583,-0.233445,1,4
2019,1,-0.236667,-0.110000,0.000000,-0.236667,-0.787500,-0.302022,1,7
2019,2,0.000000,0.000000,0.000000,0.000000,-0.015000,-0.206897,0,7
2019,3,-0.685000,-0.005000,0.000000,-0.685000,-2.239334,-0.135832,1,12
2019,4,-0.350000,0.000000,-0.350000,0.000000,-0.130833,0.333333,1,5
2019,5,0.000000,0.000000,0.000000,0.000000,0.172500,0.005682,0,15
2019,6,2.641667,1.150000,2.641667,0.000000,-0.917333,-1.610443,1,11
2019,7,1.870000,2.490000,1.870000,0.000000,2.070000,10.443542,1,3
2019,8,0.000000,0.000000,0.000000,0.000000,-0.271250,-0.225000,0,1
2019,9,6.742000,4.106000,0.000000,6.742000,6.630500,3.928929,1,11
2019,10,0.110000,0.080000,0.110000,0.000000,0.953333,0.306250,1,6
2019,11,0.000000,0.000000,0.000000,0.000000,0.100833,-0.846896,0,13
2019,12,0.300000,0.000000,0.000000,0.300000,-0.255000,0.447273,1,5
2020,1,-0.460000,-0.095000,0.000000,-0.460000,-0.335000,0.613036,1,4
2020,2,0.000000,0.000000,0.000000,0.000000,2.257083,2.004800,0,14
2020,3,7.395000,9.338000,7.395000,0.000000,8.052000,9.786250,1,1
2020,4,0.327500,1.150000,0.327500,0.000000,0.415000,2.216875,1,2
2020,5,0.000000,0.000000,0.000000,0.000000,-0.657501,-0.736678,0,13
2020,6,0.208333,0.292500,0.000000,0.208333,-0.006667,-0.201699,1,8
2020,7,-0.160000,-0.100000,-0.160000,0.000000,0.643334,-0.108180,1,12
2020,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2
2020,9,-0.200000,0.000000,-0.200000,0.000000,-0.208333,0.261645,1,17
2020,10,-0.866667,-0.600000,-0.866667,0.000000,-1.016667,0.250877,1,20
2020,11,0.000000,0.000000,0.000000,0.000000,-0.282501,0.014589,0,27
2020,12,1.312500,1.008333,1.312500,0.000000,1.725000,1.171453,1,6
2021,1,-0.100000,-0.100000,0.000000,-0.100000,-0.108334,-0.945882,1,7
2021,2,0.000000,0.000000,0.000000,0.000000,-0.432167,0.114234,0,9
2021,3,0.382500,0.352500,0.000000,0.382500,1.321916,0.152637,1,8
2021,4,-0.175000,0.013333,0.000000,-0.175000,0.051667,-0.336970,1,10
2021,5,0.000000,0.000000,0.000000,0.000000,0.005000,-0.011538,0,10
2021,6,-0.191667,0.017500,-0.191667,0.000000,-0.392918,-0.553200,1,16
2021,7,-0.103333,-0.030000,0.000000,-0.103333,-0.158333,0.042273,1,7
2021,8,0.000000,0.000000,0.000000,0.000000,-0.042500,0.113214,0,3
2021,9,-0.145000,-0.105000,-0.145000,0.000000,-0.042500,0.269909,1,14
2021,10,0.628750,0.152500,0.628750,0.000000,1.317916,-0.066134,1,17
2021,11,0.000000,0.000000,0.000000,0.000000,-2.138918,0.714382,0,26
2021,12,-0.595000,-0.150000,0.000000,-0.595000,-0.063000,0.446360,1,6
2022,1,0.000000,0.000000,0.000000,0.000000,-0.014500,-0.113347,0,5
2022,2,5.175000,0.173333,5.175000,0.000000,5.112500,0.850093,1,11
2022,3,4.044167,0.132500,4.044167,0.000000,4.770809,0.198913,1,14
2022,4,-6.100000,-1.235000,-6.100000,0.000000,-4.274750,1.583525,1,5
2022,5,0.000000,0.000000,0.000000,0.000000,-1.187584,-1.714000,0,8
2022,6,6.880833,-4.268750,6.880833,0.000000,13.515541,-3.760993,1,14
2022,7,8.507000,13.252500,0.000000,8.507000,8.768000,15.200971,1,4
2022,8,0.000000,0.000000,0.000000,0.000000,-1.320667,-0.048928,0,3
2022,9,11.656250,8.383333,11.656250,0.000000,14.805167,8.392840,1,15
2022,10,-13.835000,-0.461667,-13.835000,0.000000,-15.198833,1.866416,1,8
2022,11,0.000000,0.000000,0.000000,0.000000,-6.349001,-4.330487,0,17
2022,12,15.336000,-2.790000,15.336000,0.000000,14.231833,-4.019848,1,3
2023,1,0.000000,0.000000,0.000000,0.000000,0.581250,0.552805,0,5
2023,2,-7.257000,0.160000,-7.257000,0.000000,-6.714500,-0.135000,1,2
2023,3,7.773750,13.300000,0.000000,7.773750,2.278500,20.267858,1,14
2023,4,0.000000,0.000000,0.000000,0.000000,-2.261547,-0.031157,0,10
2023,5,-7.667500,-5.881667,-7.667500,0.000000,-10.736417,-4.155223,1,12
2023,6,1.483750,1.031667,0.000000,1.483750,4.937917,1.015994,1,15
2023,7,-3.783750,-1.113333,-3.783750,0.000000,-2.811750,0.257500,1,3
2023,8,0.000000,0.000000,0.000000,0.000000,-0.045000,0.316667,0,1
2023,9,2.826250,6.313333,0.000000,2.826250,1.285832,8.166814,1,16
2023,10,-3.157500,-0.742500,-3.157500,0.000000,-4.566250,-0.622204,1,9
2023,11,0.000000,0.000000,0.000000,0.000000,-4.909583,0.723836,0,17
