equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
stoxx,stoxx,0,43,0.39024,1.60561,1.59873,0.589658,0.569059,0.567374,0.96507,0.96221
mps,mps,1,44,0.382201,1.00000,1.00000,0.146078,0.152498,0.154661,1.04395,1.05876
mps,i1y,0,44,0.382201,0.42571,0.02372,0.316521,0.316939,0.317151,1.00132,1.00199
mps,ip,0,44,0.382201,0.38614,0.04234,0.0196223,0.0198341,0.019898,1.01079,1.01405
mps,hicp,0,44,0.382201,0.30824,0.02625,0.0575713,0.0605125,0.0611685,1.05109,1.06248
mps,stoxx,0,44,0.382201,0.38557,0.05153,0.0041579,0.00422577,0.00424947,1.01632,1.02202
i1y,mps,1,44,0.382201,1.00000,1.00000,3.31722,3.16114,3.14212,0.95295,0.94722
i1y,i1y,0,44,0.382201,1.69376,2.02611,2.00125,1.96593,1.95497,0.98235,0.97688
i1y,ip,0,44,0.382201,2.30592,2.45454,0.168555,0.152939,0.14987,0.90735,0.88915
i1y,hicp,0,44,0.382201,0.68936,0.64700,0.364138,0.362858,0.367069,0.99649,1.00805
i1y,stoxx,0,44,0.382201,1.46855,1.53038,0.029756,0.028858,0.0287711,0.96982,0.96690
ip,mps,1,44,0.382201,1.00000,1.00000,23.0672,15.8687,16.3331,0.68793,0.70807
ip,i1y,0,44,0.382201,0.74023,0.84070,5.50662,5.47474,5.4686,0.99421,0.99310
ip,ip,0,44,0.382201,1.93990,2.04546,1.09143,1.01294,1.00049,0.92809,0.91668
ip,hicp,0,44,0.382201,0.74607,0.73009,4.2782,4.29022,4.30259,1.00281,1.00570
ip,stoxx,0,44,0.382201,1.11835,1.05760,0.21497,0.211987,0.2122,0.98613,0.98712
hicp,mps,1,44,0.382201,1.00000,1.00000,3.14165,1.71754,1.3606,0.54670,0.43308
hicp,i1y,0,44,0.382201,3.48547,4.13379,2.81231,2.72046,2.69939,0.96734,0.95985
hicp,ip,0,44,0.382201,4.41904,5.02250,0.260575,0.162142,0.144938,0.62225,0.55622
