dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
sparse,block,2,3,9,0.9656097822,0.7116182865,0.3386257143,0.1282348548,0.3844085726,0.7116182865,1.210631815,2.582947469
sparse,block,2,3,10,0.9874215348,0.7300790562,0.3486028571,0.1277611684,0.3929136581,0.7300790562,1.243461469,2.651290346
sparse,block,2,3,11,1.008757838,0.7410986955,0.35602,0.1312788433,0.3988901943,0.7410986955,1.267345465,2.708483016
sparse,block,2,3,12,1.032929808,0.760554339,0.3658,0.1360131688,0.4119473705,0.760554339,1.298291864,2.774054237
sparse,block,2,3,13,1.055457258,0.7757195983,0.376,0.1381964935,0.4181840136,0.7757195983,1.328642254,2.82210111
sparse,block,2,3,14,1.074467477,0.7868167133,0.3801971429,0.1458504279,0.427579164,0.7868167133,1.345351773,2.890058833
sparse,block,2,3,15,1.075042575,0.7864347789,0.3812514286,0.1492517424,0.4282571294,0.7864347789,1.346643295,2.877390257
sparse,block,2,3,16,1.076045161,0.7851657033,0.3795514286,0.1407108118,0.4227708483,0.7851657033,1.350408649,2.899691747
sparse,block,2,3,17,1.077148366,0.7905168662,0.37998,0.1377157293,0.4248601624,0.7905168662,1.347304644,2.896314052
sparse,block,2,3,18,1.056904625,0.7651011436,0.3707914286,0.1300215263,0.4039580125,0.7651011436,1.331507529,2.877304049
sparse,block,2,3,19,1.056862788,0.7651810481,0.3709114286,0.1270013205,0.4046862796,0.7651810481,1.330467397,2.880030958
sparse,block,2,3,20,1.059139968,0.7682507169,0.3723171429,0.131213046,0.4069262805,0.7682507169,1.332938552,2.881221993
sparse,block,3,1,1,0.5642949495,0.3812063699,0.1470971429,0.04091751929,0.1753407813,0.3812063699,0.7195355699,1.652886748
sparse,block,3,1,2,2.17127736,1.745399426,0.8188257143,0.680522185,1.206038627,1.745399426,2.575909332,4.939103048
sparse,block,3,1,3,1.519725686,1.208966689,0.6228657143,0.4367587046,0.8199077665,1.208966689,1.812013911,3.511765195
sparse,block,3,1,4,1.590280741,1.268706472,0.6450342857,0.4487510459,0.8517123655,1.268706472,1.903787728,3.709558572
sparse,block,3,1,5,1.601923648,1.272950697,0.6406228571,0.4333876347,0.8450100621,1.272950697,1.926060926,3.757230405
