dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
correct,block,2,3,5,0.8033759885,0.575934539,0.2632685714,0.07582187097,0.2855531105,0.575934539,1.024436839,2.231757149
correct,block,2,3,6,0.839745827,0.6050878827,0.2801171429,0.08127536653,0.3036716964,0.6050878827,1.067809203,2.320303002
correct,block,2,3,7,0.887587383,0.6407883527,0.3014571429,0.09076638658,0.3246578667,0.6407883527,1.126601353,2.424047092
correct,block,2,3,8,0.9326308412,0.6753020303,0.3200485714,0.1015327624,0.347098343,0.6753020303,1.1804004,2.557406705
correct,block,2,3,9,0.9778120219,0.7064058244,0.3400885714,0.1064489933,0.3661651294,0.7064058244,1.236470847,2.664256613
correct,block,2,3,10,1.019625065,0.7445618048,0.3585685714,0.1206270183,0.3904643257,0.7445618048,1.286137038,2.749248876
correct,block,2,3,11,1.052221326,0.7629214898,0.3679428571,0.1228236928,0.4022847903,0.7629214898,1.326729013,2.861591455
correct,block,2,3,12,1.062155208,0.7744758572,0.3746142857,0.127979639,0.4097346207,0.7744758572,1.337817246,2.875550115
correct,block,2,3,13,1.095267692,0.7955075632,0.3845685714,0.1346314913,0.4221018464,0.7955075632,1.375880977,2.965446531
correct,block,2,3,14,1.120101553,0.8147533861,0.3929142857,0.1350595046,0.4321025313,0.8147533861,1.407670567,3.038483163
correct,block,2,3,15,1.124142302,0.8166250543,0.3945,0.1337167726,0.4310448519,0.8166250543,1.414343241,3.055942296
correct,block,2,3,16,1.132285673,0.8197472397,0.3986857143,0.1368023012,0.4332796658,0.8197472397,1.42583078,3.074900141
correct,block,2,3,17,1.137696408,0.8225329424,0.3989828571,0.1369509334,0.4368705909,0.8225329424,1.430249107,3.10371635
correct,block,2,3,18,1.137170534,0.825999854,0.3993085714,0.1418428587,0.4382998366,0.825999854,1.427140392,3.093014657
correct,block,2,3,19,1.145329145,0.8299525224,0.4014028571,0.1425076139,0.4391497044,0.8299525224,1.439192741,3.116511139
correct,block,2,3,20,1.15046591,0.8309705314,0.4009885714,0.1420137333,0.4422135749,0.8309705314,1.44040865,3.127312398
correct,block,3,1,1,0.546919092,0.3680251818,0.1394171429,0.03931115019,0.1689050892,0.3680251818,0.6986797251,1.597422685
correct,block,3,1,2,0.6185054013,0.4199541205,0.17318,0.04614163518,0.1942081608,0.4199541205,0.7925284126,1.798507492
correct,block,3,1,3,0.6919465109,0.4799762207,0.2090085714,0.05507798245,0.2264048016,0.4799762207,0.8867012469,1.976172634
correct,block,3,1,4,0.7478561035,0.5279289772,0.2362028571,0.0618871378,0.2544449715,0.5279289772,0.9572021496,2.111127345
correct,block,3,1,5,0.8158712454,0.5834148372,0.2695342857,0.07579709098,0.28873811,0.5834148372,1.040808781,2.275036106
correct,block,3,1,6,0.8875508797,0.6405702455,0.3027514286,0.08990697848,0.3246341083,0.6405702455,1.12452507,2.444794863
correct,block,3,1,7,0.9462292557,0.6855312295,0.3283342857,0.1040617395,0.3550319209,0.6855312295,1.196018486,2.596084624
correct,block,3,1,8,1.009470593,0.7293924122,0.35282,0.1193429701,0.3816812693,0.7293924122,1.272251247,2.745196626
correct,block,3,1,9,1.054657349,0.771203302,0.3732885714,0.1311036518,0.409111326,0.771203302,1.328025955,2.842197071
correct,block,3,1,10,1.086689288,0.7906395309,0.3824657143,0.1398143448,0.42324693,0.7906395309,1.360502598,2.937747176
correct,block,3,1,11,1.116134124,0.8120467187,0.3939514286,0.1431590919,0.432402599,0.8120467187,1.394989109,3.024037331
correct,block,3,1,12,1.144683381,0.8372940975,0.4043285714,0.1478668661,0.44818722,0.8372940975,1.436923124,3.082379893
correct,block,3,1,13,1.171968978,0.8553599441,0.4135314286,0.1523012924,0.4625867147,0.8553599441,1.470345278,3.155793217
correct,block,3,1,14,1.180905707,0.8552742463,0.4122228571,0.1521547595,0.4590254236,0.8552742463,1.476203172,3.194038352
correct,block,3,1,15,1.183734442,0.8643108141,0.4149371429,0.1554346553,0.4658391616,0.8643108141,1.486250316,3.188490753
correct,block,3,1,16,1.186145936,0.8594873661,0.4149514286,0.1518693884,0.4599348272,0.8594873661,1.485521488,3.216371963
correct,block,3,1,17,1.180587606,0.8513002787,0.4130571429,0.15210235,0.4524211598,0.8513002787,1.479693158,3.20642457
correct,block,3,1,18,1.191973311,0.8610583048,0.4182057143,0.1548941244,0.4610740796,0.8610583048,1.490162872,3.242042286
correct,block,3,1,19,1.198148386,0.8637471327,0.4205828571,0.1533380389,0.462311411,0.8637471327,1.495494855,3.271358278
correct,block,3,1,20,1.187611243,0.8533990729,0.4144742857,0.1508002792,0.4568880948,0.8533990729,1.48858599,3.256066018
correct,block,3,2,1,0.5595075702,0.3815383023,0.1441257143,0.04140731959,0.176222229,0.3815383023,0.717104451,1.623668452
correct,block,3,2,2,0.6352926655,0.4358105332,0.1807057143,0.0482216459,0.2026577751,0.4358105332,0.8132568203,1.833626584
correct,block,3,2,3,0.6918852117,0.4812029265,0.2092257143,0.05231304711,0.2258606172,0.4812029265,0.886246142,1.978371574
correct,block,3,2,4,0.7466441689,0.5250092589,0.2350742857,0.06129029813,0.2532775886,0.5250092589,0.9540025932,2.109317921
correct,block,3,2,5,0.8034245423,0.5726335008,0.2630742857,0.07149267438,0.2811646038,0.5726335008,1.027557936,2.255025925
correct,block,3,2,6,0.8627703575,0.6148956446,0.2900542857,0.0853550452,0.3063595499,0.6148956446,1.096227409,2.410266261
