equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
mps,i1y,0,39,0.445805,0.42954,0.03657,0.393914,0.394668,0.395042,1.00191,1.00286
mps,ip,0,39,0.445805,0.41370,0.06023,0.0117791,0.0119585,0.0120491,1.01523,1.02293
mps,hicp,0,39,0.445805,0.27059,0.00710,0.0564271,0.0607864,0.0615526,1.07726,1.09083
mps,stoxx,0,39,0.445805,0.29454,0.03033,0.003897,0.00401656,0.00404651,1.03068,1.03837
i1y,mps,0,39,0.445805,0.03981,0.00320,2.34206,4.69492,4.86507,2.00461,2.07726
i1y,i1y,0,39,0.445805,1.76187,1.70764,2.44722,2.42332,2.42836,0.99023,0.99229
i1y,ip,0,39,0.445805,2.07129,2.20024,0.130882,0.118038,0.116063,0.90187,0.88677
i1y,hicp,0,39,0.445805,0.57923,0.53456,0.20913,0.225374,0.227179,1.07767,1.08630
i1y,stoxx,0,39,0.445805,1.24180,1.23177,0.0366059,0.0355475,0.0354593,0.97109,0.96868
ip,mps,0,39,0.445805,0.03259,0.00687,16.135,44.1352,44.8491,2.73536,2.77961
ip,i1y,0,39,0.445805,1.51052,1.46195,11.7125,11.5272,11.546,0.98418,0.98579
ip,ip,0,39,0.445805,1.40987,1.34835,0.841146,0.873091,0.881302,1.03798,1.04774
ip,hicp,0,39,0.445805,0.56052,0.39966,1.88651,2.11149,2.20867,1.11926,1.17077
ip,stoxx,0,39,0.445805,0.49874,0.35981,0.187134,0.192654,0.194142,1.02950,1.03745
hicp,mps,0,39,0.445805,0.04057,0.00744,3.37445,4.14566,4.29826,1.22854,1.27377
hicp,i1y,0,39,0.445805,3.32880,3.45293,1.77408,1.60463,1.59513,0.90449,0.89913
hicp,ip,0,39,0.445805,4.09371,4.81547,0.237489,0.13158,0.111712,0.55405,0.47039
hicp,hicp,0,39,0.445805,3.02440,3.20867,0.723428,0.435133,0.395054,0.60149,0.54609
hicp,stoxx,0,39,0.445805,0.92094,1.05019,0.0248441,0.0252686,0.0249828,1.01709,1.00558
stoxx,mps,0,39,0.445805,0.04846,0.01477,91.2194,148.831,152.175,1.63157,1.66823
stoxx,i1y,0,39,0.445805,1.49368,1.57744,35.8686,35.342,35.314,0.98532,0.98454
stoxx,ip,0,39,0.445805,1.89650,1.80029,3.6726,3.32846,3.32599,0.90630,0.90562
stoxx,hicp,0,39,0.445805,0.31084,0.14198,5.76713,5.90673,6.04718,1.02421,1.04856
stoxx,stoxx,0,39,0.445805,1.36468,1.36437,0.513591,0.505705,0.50665,0.98465,0.98648
mps,mps,0,40,0.442494,0.09888,0.07838,0.158063,0.254188,0.265908,1.60815,1.68230
mps,i1y,0,40,0.442494,0.27233,0.03640,0.377773,0.378684,0.378875,1.00241,1.00292
mps,ip,0,40,0.442494,0.42900,0.06065,0.0122727,0.0125282,0.0126747,1.02082,1.03276
mps,hicp,0,40,0.442494,0.32537,0.00738,0.0586264,0.0624387,0.0633372,1.06503,1.08035
mps,stoxx,0,40,0.442494,0.42292,0.02885,0.00285714,0.00295869,0.0030057,1.03554,1.05200
i1y,mps,0,40,0.442494,0.04482,0.00316,2.28627,5.51042,5.72737,2.41022,2.50511
i1y,i1y,0,40,0.442494,1.57238,1.73208,2.36093,2.33895,2.3356,0.99069,0.98927
i1y,ip,0,40,0.442494,1.97652,2.18535,0.119508,0.109504,0.10676,0.91629,0.89333
i1y,hicp,0,40,0.442494,0.56037,0.53591,0.146065,0.172342,0.172972,1.17991,1.18422
i1y,stoxx,0,40,0.442494,1.28360,1.22918,0.0331143,0.032095,0.0321251,0.96922,0.97013
ip,mps,0,40,0.442494,0.04182,0.00681,17.4278,49.0649,50.2995,2.81531,2.88616
ip,i1y,0,40,0.442494,1.25433,1.30946,11.1409,11.0383,11.0307,0.99080,0.99011
ip,ip,0,40,0.442494,1.31824,1.31724,0.949855,0.995585,0.995246,1.04814,1.04779
ip,hicp,0,40,0.442494,0.46903,0.44502,2.30346,2.55586,2.58625,1.10957,1.12277
ip,stoxx,0,40,0.442494,0.55343,0.38794,0.135946,0.142375,0.144324,1.04729,1.06163
hicp,mps,0,40,0.442494,0.05249,0.00699,3.67131,4.07922,4.30099,1.11111,1.17151
hicp,i1y,0,40,0.442494,3.47783,3.58558,1.4754,1.21649,1.20406,0.82452,0.81609
hicp,ip,0,40,0.442494,3.98473,4.74628,0.238909,0.12801,0.102966,0.53581,0.43098
hicp,hicp,0,40,0.442494,3.15137,3.24534,0.685831,0.408189,0.374315,0.59517,0.54578
hicp,stoxx,0,40,0.442494,0.83764,1.07354,0.0294749,0.0296644,0.0291815,1.00643,0.99004
stoxx,mps,0,40,0.442494,0.05239,0.01544,79.9147,145.683,149.664,1.82298,1.87280
stoxx,i1y,0,40,0.442494,1.46916,1.57839,30.5109,30.2538,30.2344,0.99157,0.99094
stoxx,ip,0,40,0.442494,1.74140,1.56684,3.43167,3.13798,3.18547,0.91442,0.92826
stoxx,hicp,0,40,0.442494,0.27608,0.13349,6.66012,6.96228,7.10564,1.04537,1.06689
stoxx,stoxx,0,40,0.442494,1.42133,1.36485,0.405666,0.397512,0.399959,0.97990,0.98593
mps,mps,0,41,0.423832,0.08190,0.07266,0.137609,0.22132,0.227622,1.60833,1.65412
mps,i1y,0,41,0.423832,0.37955,0.03655,0.432673,0.433305,0.433549,1.00146,1.00202
mps,ip,0,41,0.423832,0.37002,0.06305,0.0137475,0.013906,0.0139776,1.01153,1.01674
mps,hicp,0,41,0.423832,0.17213,0.00760,0.0564693,0.0603774,0.0607544,1.06921,1.07588
mps,stoxx,0,41,0.423832,0.44263,0.02834,0.003534,0.0036272,0.00367831,1.02637,1.04084
i1y,mps,0,41,0.423832,0.05531,0.00319,2.46065,6.47882,6.78275,2.63297,2.75648
i1y,i1y,0,41,0.423832,1.90681,1.79575,2.38352,2.34166,2.35141,0.98244,0.98653
i1y,ip,0,41,0.423832,2.07241,2.19006,0.114549,0.107233,0.106538,0.93613,0.93007
i1y,hicp,0,41,0.423832,0.61682,0.53805,0.152532,0.173143,0.176051,1.13512,1.15419
i1y,stoxx,0,41,0.423832,1.26585,1.23384,0.0351223,0.0343352,0.034395,0.97759,0.97929
ip,mps,0,41,0.423832,0.03565,0.00675,19.2427,52.2314,53.1702,2.71435,2.76314
ip,i1y,0,41,0.423832,1.15812,1.20980,8.49729,8.41569,8.40915,0.99040,0.98963
ip,ip,0,41,0.423832,1.41748,1.31520,1.06171,1.0867,1.1039,1.02353,1.03973
ip,hicp,0,41,0.423832,0.66205,0.49752,2.91269,3.04126,3.15502,1.04414,1.08320
ip,stoxx,0,41,0.423832,0.67855,0.42223,0.204837,0.209195,0.212476,1.02128,1.03729
hicp,mps,0,41,0.423832,0.04748,0.00663,3.6339,3.82897,4.00127,1.05368,1.10109
hicp,i1y,0,41,0.423832,3.41078,3.74629,2.03488,1.863,1.8428,0.91554,0.90561
hicp,ip,0,41,0.423832,3.91330,4.66856,0.235498,0.13993,0.118894,0.59419,0.50486
hicp,hicp,0,41,0.423832,3.29821,3.32323,0.65716,0.352589,0.335277,0.53654,0.51019
hicp,stoxx,0,41,0.423832,0.90074,1.17503,0.0238333,0.0235885,0.0229699,0.98973,0.96377
stoxx,mps,0,41,0.423832,0.04174,0.01637,69.2517,139.076,142.001,2.00827,2.05050
stoxx,i1y,0,41,0.423832,1.64684,1.65912,16.8083,16.5672,16.5985,0.98566,0.98752
stoxx,ip,0,41,0.423832,1.37639,1.36029,3.80841,3.66879,3.67853,0.96334,0.96590
stoxx,hicp,0,41,0.423832,0.30175,0.12719,8.81495,9.23672,9.38247,1.04785,1.06438
stoxx,stoxx,0,41,0.423832,1.42233,1.37363,0.439804,0.429652,0.429877,0.97692,0.97743
mps,mps,0,42,0.400616,0.07781,0.06684,0.0832363,0.180602,0.189364,2.16975,2.27502
mps,i1y,0,42,0.400616,0.34103,0.03622,0.479533,0.480063,0.480223,1.00110,1.00144
mps,ip,0,42,0.400616,0.39371,0.06583,0.0146906,0.0148201,0.0148791,1.00882,1.01283
mps,hicp,0,42,0.400616,0.27738,0.00794,0.0416536,0.0437552,0.0441135,1.05046,1.05906
mps,stoxx,0,42,0.400616,0.44899,0.02786,0.00445222,0.00452613,0.00456614,1.01660,1.02559
i1y,mps,0,42,0.400616,0.04344,0.00327,2.69842,7.77601,8.01228,2.88169,2.96925
i1y,i1y,0,42,0.400616,1.79315,1.85031,2.41323,2.37703,2.37843,0.98500,0.98558
i1y,ip,0,42,0.400616,2.08000,2.18309,0.128925,0.123455,0.122651,0.95757,0.95134
i1y,hicp,0,42,0.400616,0.58868,0.53792,0.222245,0.23965,0.241761,1.07831,1.08781
i1y,stoxx,0,42,0.400616,1.29414,1.23243,0.0249827,0.0244226,0.0244905,0.97758,0.98030
ip,mps,0,42,0.400616,0.06572,0.00676,20.4331,54.0042,56.1573,2.64298,2.74835
ip,i1y,0,42,0.400616,1.11811,1.15694,9.63518,9.56597,9.5648,0.99282,0.99269
ip,ip,0,42,0.400616,1.32406,1.31495,1.09971,1.1296,1.14317,1.02718,1.03952
ip,hicp,0,42,0.400616,0.65734,0.55138,3.31734,3.45321,3.5409,1.04096,1.06739
ip,stoxx,0,42,0.400616,0.70009,0.43761,0.160203,0.165069,0.168803,1.03038,1.05369
hicp,mps,0,42,0.400616,0.05887,0.00623,3.4782,3.52489,3.70327,1.01342,1.06471
hicp,i1y,0,42,0.400616,3.57035,3.87437,2.08924,1.9605,1.94753,0.93838,0.93217
hicp,ip,0,42,0.400616,4.01483,4.71526,0.240118,0.144773,0.125086,0.60292,0.52094
hicp,hicp,0,42,0.400616,3.28092,3.36670,0.760332,0.430609,0.426078,0.56634,0.56038
