instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1y_jk_kilian,0.002455,0.490,0.436,0.190,0.0057,228,171,3.004,-0.004790,-0.560,0.314,-1.322,-0.729,-0.322,-0.505,1.636,0.1620,0.025,18.213,0.094,0.005,14.148,0.287,2008-11,-0.843,WEAK
z_gc_1y_jk_kilianfix,0.002566,0.483,0.427,0.182,0.0057,228,171,2.861,-0.005343,-0.580,0.337,-1.247,-0.795,-0.353,-0.566,1.684,0.1505,0.081,18.444,0.093,0.005,12.802,0.266,2008-11,-0.831,WEAK
z_gc_1y_info_sum,0.005153,3.000,2.800,7.842,0.0178,228,103,2.524,0.009171,2.538,6.439,-0.905,0.179,0.505,-0.137,3.321,0.0100,-0.057,8.391,8.121,3.401,5.671,20.175,2011-08,-0.529,WEAK
z_gc_1y_info_kilian,0.005584,2.476,2.574,6.625,0.0146,228,154,2.107,0.012537,2.861,8.183,-0.070,-0.504,0.830,-0.387,3.126,0.0140,0.163,7.842,6.764,3.984,3.765,22.162,2001-10,-0.452,WEAK
z_gc_1y_info_kilianfix,0.005556,2.251,2.399,5.754,0.0135,228,156,2.034,0.013241,2.879,8.290,0.059,-0.583,0.839,-0.410,3.179,0.0127,0.217,6.923,5.602,3.649,2.994,23.796,2001-10,-0.428,WEAK
z_gc_path1y_sum,0.004274,1.409,1.264,1.597,0.0233,228,204,3.478,0.004577,0.882,0.779,-1.102,-0.168,1.005,-0.549,0.162,0.9576,-0.142,24.101,0.668,1.128,3.250,0.698,2008-11,-0.698,WEAK
z_gc_path1y_kilian,0.004801,1.257,1.107,1.225,0.0210,228,226,2.936,0.004238,0.622,0.387,-0.628,-0.599,1.219,-0.891,0.249,0.9104,-0.027,23.769,0.554,0.842,1.864,2.422,2008-11,-0.672,WEAK
z_gc_path1y_kilianfix,0.004851,1.219,1.069,1.142,0.0195,228,226,2.802,0.004289,0.592,0.350,-0.512,-0.674,1.196,-0.945,0.270,0.8974,0.018,21.762,0.572,0.819,1.182,2.850,2008-11,-0.634,WEAK
z_gc_1m_adj_sum_bs,-0.000840,-0.260,-0.266,0.071,0.0006,228,205,2.939,-0.000724,-0.137,0.019,-0.510,0.872,-0.381,0.015,0.000,1.0000,-0.244,0.024,0.146,2.198,10.288,7.261,2008-11,-0.679,WEAK
z_gc_1m_adj_kilian_bs,0.001161,0.308,0.316,0.100,0.0008,228,205,2.312,0.001088,0.154,0.024,-0.657,0.742,0.058,-0.569,0.000,1.0000,-0.032,2.290,0.009,1.183,13.765,19.383,2008-11,-0.771,WEAK
z_gc_1m_adj_kilianfix_bs,0.001408,0.361,0.366,0.134,0.0010,228,205,2.196,0.001368,0.182,0.033,-0.627,0.707,0.126,-0.710,0.000,1.0000,0.026,2.529,0.023,1.007,15.103,19.076,2008-11,-0.756,WEAK
