dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
intermediate,block,3,1,20,1.074664677,0.7703880497,0.3739542857,0.1266540764,0.4041100037,0.7703880497,1.351980284,2.942224498
intermediate,block,3,2,1,0.5625576229,0.3802593363,0.1474,0.04036851772,0.1740455062,0.3802593363,0.7227776222,1.640268987
intermediate,block,3,2,2,0.5785179574,0.3981126724,0.1545885714,0.04102003792,0.1825189854,0.3981126724,0.7438572667,1.671117003
intermediate,block,3,2,3,0.6843068677,0.487206159,0.2062971429,0.05574461642,0.2321583303,0.487206159,0.8796388634,1.924240618
intermediate,block,3,2,4,0.7187707394,0.5147259804,0.2205142857,0.06558073812,0.2550423378,0.5147259804,0.9147461499,1.997556233
intermediate,block,3,2,5,0.7694760287,0.5549784786,0.2462114286,0.07047590462,0.2783934888,0.5549784786,0.9816647206,2.11376323
intermediate,block,3,2,6,0.8417330097,0.6090777786,0.2800342857,0.08714320059,0.3099862263,0.6090777786,1.063055887,2.30628974
intermediate,block,3,2,7,0.9142474818,0.6660380911,0.3148457143,0.102841558,0.3497505112,0.6660380911,1.156981618,2.491563946
intermediate,block,3,2,8,0.9530850246,0.6931587623,0.3331485714,0.09597264162,0.3557332704,0.6931587623,1.214388694,2.614060135
intermediate,block,3,2,9,1.016653077,0.7378155723,0.3573885714,0.114362012,0.3819231975,0.7378155723,1.288608596,2.772637703
intermediate,block,3,2,10,1.050689097,0.7602541795,0.3678742857,0.1173621583,0.3973322309,0.7602541795,1.328164353,2.862089528
intermediate,block,3,2,11,1.062283912,0.7657659079,0.37156,0.1168907517,0.3970433673,0.7657659079,1.344329398,2.921200432
intermediate,block,3,2,12,1.04592644,0.7476666677,0.3645428571,0.1082438689,0.3767552494,0.7476666677,1.325926667,2.89953434
intermediate,block,3,2,13,1.04696218,0.7428642943,0.3625771429,0.09796350235,0.3700188388,0.7428642943,1.325768267,2.929899789
