equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
mps,stoxx,0,36,0.439602,0.28346,0.06469,0.0034397,0.00355455,0.00358266,1.03339,1.04156
i1y,mps,1,36,0.439602,1.00000,1.00000,4.31957,2.39684,2.26307,0.55488,0.52391
i1y,i1y,0,36,0.439602,1.86819,1.89770,2.20164,2.17971,2.17921,0.99004,0.98981
i1y,ip,0,36,0.439602,2.59174,2.78534,0.193266,0.154711,0.149076,0.80051,0.77135
i1y,hicp,0,36,0.439602,0.60239,0.55369,0.281469,0.288506,0.292004,1.02500,1.03743
i1y,stoxx,0,36,0.439602,1.13600,1.31617,0.0458789,0.0446483,0.0439355,0.97318,0.95764
ip,mps,1,36,0.439602,1.00000,1.00000,11.4343,12.5037,12.2954,1.09353,1.07531
ip,i1y,0,36,0.439602,2.21392,2.34884,9.60995,9.09731,9.05219,0.94665,0.94196
ip,ip,0,36,0.439602,1.68041,1.72173,0.708133,0.660855,0.646311,0.93324,0.91270
ip,hicp,0,36,0.439602,0.37110,0.32379,1.40707,1.5834,1.59743,1.12531,1.13529
ip,stoxx,0,36,0.439602,0.53091,0.50179,0.143623,0.145644,0.146272,1.01407,1.01844
hicp,mps,1,36,0.439602,1.00000,1.00000,4.32764,1.76485,1.76526,0.40781,0.40790
hicp,i1y,0,36,0.439602,2.63975,3.17595,2.04848,1.9994,1.98636,0.97604,0.96967
hicp,ip,0,36,0.439602,6.24068,6.63450,0.292036,0.117122,0.109963,0.40105,0.37654
hicp,hicp,0,36,0.439602,2.87223,3.16388,0.362152,0.141217,0.131158,0.38994,0.36216
hicp,stoxx,0,36,0.439602,1.63796,1.46104,0.0192141,0.0159819,0.0164387,0.83178,0.85555
stoxx,mps,1,36,0.439602,1.00000,1.00000,71.9534,48.2492,45.3111,0.67056,0.62973
stoxx,i1y,0,36,0.439602,1.68993,2.04510,41.9609,41.225,40.8844,0.98246,0.97435
