dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
dense,block,2,2,16,1.193625833,0.8509643673,0.4130857143,0.1351938641,0.4471423384,0.8509643673,1.492652608,3.325558209
dense,block,2,2,17,1.205110037,0.860761837,0.4187142857,0.1453782799,0.4547756594,0.860761837,1.509762982,3.314017422
dense,block,2,2,18,1.237228431,0.8820950694,0.4245542857,0.142400967,0.4620452018,0.8820950694,1.544020551,3.387074853
dense,block,2,2,19,1.220380685,0.8661917283,0.4176514286,0.1402505277,0.4523986402,0.8661917283,1.52558707,3.376622019
dense,block,2,2,20,1.21181603,0.8668311083,0.4167885714,0.1425960076,0.4533483128,0.8668311083,1.524906893,3.342349652
dense,block,2,3,1,0.5362384797,0.3581777668,0.1331085714,0.03894388371,0.1635743909,0.3581777668,0.681942058,1.570015445
dense,block,2,3,2,0.6271147525,0.4213077444,0.1789028571,0.04421588676,0.1916735331,0.4213077444,0.8045755109,1.845267304
dense,block,2,3,3,0.6996639094,0.4793866771,0.2105942857,0.05146998118,0.2231180058,0.4793866771,0.8904283949,2.024634879
dense,block,2,3,4,0.7740164247,0.5351712018,0.2460742857,0.06283993425,0.2546674721,0.5351712018,0.9845179209,2.215379243
dense,block,2,3,5,0.8308981196,0.590348422,0.27492,0.07565746429,0.290910547,0.590348422,1.057372051,2.332257468
dense,block,2,3,6,0.898635302,0.6420496185,0.3056114286,0.092658698,0.3279510042,0.6420496185,1.133641407,2.478394266
dense,block,2,3,7,0.9410236818,0.6755975307,0.3255314286,0.1006576987,0.3452124038,0.6755975307,1.191166197,2.5818401
dense,block,2,3,8,0.9821104885,0.7035107753,0.3413771429,0.1062218318,0.3595354371,0.7035107753,1.239199528,2.706943282
dense,block,2,3,9,1.029384601,0.735715795,0.3598971429,0.1124458973,0.3789126078,0.735715795,1.294173246,2.857005319
dense,block,2,3,10,1.056907578,0.7556421749,0.36856,0.1211329686,0.3911095972,0.7556421749,1.332168389,2.907183719
dense,block,2,3,11,1.095650713,0.7823165653,0.3835257143,0.1262825481,0.4057666563,0.7823165653,1.370579029,3.01475863
dense,block,2,3,12,1.137699424,0.8154455192,0.4002171429,0.1383760083,0.4297287149,0.8154455192,1.425897417,3.111384843
dense,block,2,3,13,1.126163991,0.805779596,0.3928857143,0.1332776074,0.427266952,0.805779596,1.401569651,3.10749624
dense,block,2,3,14,1.189410187,0.8533931714,0.4146628571,0.1458473664,0.4543356883,0.8533931714,1.481449928,3.257886659
dense,block,2,3,15,1.1688635,0.8378580588,0.4114914286,0.1404366718,0.4459866143,0.8378580588,1.460599895,3.229357368
dense,block,2,3,16,1.173230211,0.8462947789,0.4133371429,0.1496796627,0.4499451419,0.8462947789,1.463554606,3.205085218
dense,block,2,3,17,1.176984479,0.8473664519,0.41484,0.1528376624,0.4557850221,0.8473664519,1.471142279,3.198791717
dense,block,2,3,18,1.198595031,0.8646499943,0.4213314286,0.1597355781,0.466484865,0.8646499943,1.497720501,3.256130807
dense,block,2,3,19,1.227018702,0.8837534769,0.4269371429,0.1727743584,0.4833205174,0.8837534769,1.523319185,3.328677252
dense,block,2,3,20,1.232424965,0.8897243601,0.4306457143,0.1633337158,0.4774483453,0.8897243601,1.53491067,3.347877727
dense,block,3,1,1,0.5266984446,0.3515070567,0.1285485714,0.03914781399,0.1629071836,0.3515070567,0.669461743,1.530925516
dense,block,3,1,2,0.6417800642,0.4247979666,0.1840057143,0.04493650544,0.1912865566,0.4247979666,0.8173501744,1.908320231
dense,block,3,1,3,0.7277235437,0.4961698449,0.2224171429,0.05552134699,0.2321054126,0.4961698449,0.9257102971,2.110301199
dense,block,3,1,4,0.8050319611,0.5619393492,0.2576742857,0.07429480111,0.2758286007,0.5619393492,1.020589883,2.284446734
dense,block,3,1,5,0.889927709,0.6341174243,0.2986914286,0.09887495267,0.3267329698,0.6341174243,1.121719607,2.464073863
dense,block,3,1,6,0.9611983076,0.6919833784,0.3299257143,0.11561019,0.3669201993,0.6919833784,1.207714335,2.610580744
dense,block,3,1,7,1.03702721,0.7522919035,0.3635657143,0.1301864314,0.4023818469,0.7522919035,1.302018408,2.809021866
dense,block,3,1,8,1.060974474,0.772151936,0.3762628571,0.1387916911,0.415634225,0.772151936,1.332595017,2.866946347
dense,block,3,1,9,1.102967294,0.7980866323,0.3932171429,0.1371243485,0.4278031919,0.7980866323,1.380695569,2.974957302
dense,block,3,1,10,1.119231794,0.8061804391,0.3958857143,0.1380721374,0.4287172726,0.8061804391,1.403548263,3.065764514
dense,block,3,1,11,1.140048957,0.8191976202,0.4005714286,0.1401593286,0.4351031554,0.8191976202,1.424177528,3.128804385
dense,block,3,1,12,1.171518472,0.8442289734,0.4128685714,0.1450068202,0.4513807636,0.8442289734,1.464650181,3.202911575
dense,block,3,1,13,1.183371901,0.8507514443,0.4148857143,0.1397520294,0.4503632708,0.8507514443,1.480348849,3.2724315
dense,block,3,1,14,1.194185224,0.8543150211,0.41752,0.1400184261,0.4491852555,0.8543150211,1.496294331,3.299815963
dense,block,3,1,15,1.18767192,0.8418646287,0.41508,0.1438999768,0.4405407097,0.8418646287,1.478913549,3.300880628
dense,block,3,1,16,1.217439556,0.8731252066,0.4273085714,0.1583441537,0.4699813643,0.8731252066,1.517034151,3.322501106
dense,block,3,1,17,1.24645944,0.9023710324,0.4385085714,0.169085848,0.4952730255,0.9023710324,1.542762664,3.3747517
dense,block,3,1,18,1.257145646,0.9027906383,0.4411714286,0.1657211225,0.4893267684,0.9027906383,1.561431735,3.413873094
dense,block,3,1,19,1.286891748,0.9239314223,0.4494342857,0.1758306714,0.5057609438,0.9239314223,1.595022098,3.49564875
dense,block,3,1,20,1.279218635,0.9223625398,0.4469371429,0.1747515947,0.5036987742,0.9223625398,1.581982422,3.492569019
dense,block,3,2,1,0.5426210269,0.3631332513,0.13772,0.03909523003,0.1655222841,0.3631332513,0.6924450055,1.606879144
dense,block,3,2,2,0.6641863004,0.4452163231,0.1927428571,0.04651087956,0.206144817,0.4452163231,0.8435275862,1.940490471
dense,block,3,2,3,0.7167413865,0.4901698039,0.2198971429,0.05226282397,0.2272060826,0.4901698039,0.9159546665,2.088053317
dense,block,3,2,4,0.8074327685,0.5624617141,0.26348,0.06676752821,0.2713739224,0.5624617141,1.032921517,2.296108898
dense,block,3,2,5,0.8680258769,0.6098725887,0.2884742857,0.08098058849,0.2990007014,0.6098725887,1.101312071,2.452700051
dense,block,3,2,6,0.9191280319,0.6554803044,0.3131371429,0.09669141772,0.3304548192,0.6554803044,1.166174655,2.544069678
dense,block,3,2,7,0.960362149,0.6836950002,0.3305885714,0.1017338298,0.3488155872,0.6836950002,1.212388002,2.675788485
dense,block,3,2,8,1.011425471,0.7241835238,0.35012,0.1159078479,0.3746353947,0.7241835238,1.274580292,2.800016817
dense,block,3,2,9,1.053830799,0.7501144639,0.3673257143,0.1193218361,0.3871621263,0.7501144639,1.324228222,2.914853008
dense,block,3,2,10,1.085802911,0.7721921913,0.3784514286,0.1254369378,0.3996292905,0.7721921913,1.362139517,3.025625189
dense,block,3,2,11,1.112349464,0.7934087962,0.3854914286,0.1166913118,0.4110765625,0.7934087962,1.399388301,3.08356106
dense,block,3,2,12,1.147871254,0.8158517505,0.3967257143,0.1217974178,0.4165637313,0.8158517505,1.438014292,3.184912597
dense,block,3,2,13,1.16961518,0.8338211373,0.4045771429,0.1242485098,0.4300530718,0.8338211373,1.473341913,3.240398036
dense,block,3,2,14,1.166327844,0.8289650314,0.4032685714,0.1221308097,0.4260988497,0.8289650314,1.469927888,3.260632863
dense,block,3,2,15,1.17769532,0.8318564841,0.4071942857,0.1144497326,0.4208091713,0.8318564841,1.479949285,3.299309233
dense,block,3,2,16,1.180822572,0.8403590692,0.4086628571,0.1283812423,0.4374230268,0.8403590692,1.484688457,3.274073648
dense,block,3,2,17,1.189052401,0.8450459022,0.4092057143,0.1354962448,0.4408759941,0.8450459022,1.487360206,3.302035539
dense,block,3,2,18,1.222940688,0.8685513743,0.4200285714,0.1379485665,0.4501139846,0.8685513743,1.528143051,3.398878192
dense,block,3,2,19,1.213677278,0.8618409003,0.4186,0.1375850901,0.4472911209,0.8618409003,1.519083368,3.371939478
dense,block,3,2,20,1.259809463,0.901431458,0.4360628571,0.1506820991,0.4763956913,0.901431458,1.573939122,3.449254207
dense,block,3,3,1,0.5507351912,0.368872791,0.14172,0.03980359452,0.1682818691,0.368872791,0.702659428,1.620214294
dense,block,3,3,2,0.6208580233,0.4157999278,0.1741714286,0.04244459265,0.1885079473,0.4157999278,0.7919582553,1.826941708
dense,block,3,3,3,0.7000488187,0.4797392949,0.2118742857,0.05266122241,0.2244521247,0.4797392949,0.8911604766,2.036184405
dense,block,3,3,4,0.7563735233,0.5256066369,0.23876,0.05935180882,0.2506893043,0.5256066369,0.9679619651,2.170902223
dense,block,3,3,5,0.8286372929,0.5854703294,0.2720228571,0.07384670063,0.2857043882,0.5854703294,1.055563316,2.330709495
dense,block,3,3,6,0.8784516922,0.6218466542,0.2948057143,0.07633377734,0.304437553,0.6218466542,1.114131199,2.462287989
dense,block,3,3,7,0.9257194163,0.6617949309,0.3179428571,0.09857958623,0.3380088526,0.6617949309,1.171262253,2.560713723
dense,block,3,3,8,0.9913749364,0.7059486697,0.3422971429,0.1126051773,0.3707261417,0.7059486697,1.240981727,2.728561351
dense,block,3,3,9,1.044380333,0.7527040149,0.3677771429,0.12406278,0.3995468145,0.7527040149,1.308666489,2.846117151
dense,block,3,3,10,1.104365097,0.786292082,0.3893257143,0.1266993113,0.4117941268,0.786292082,1.382527512,3.055562596
dense,block,3,3,11,1.1349511,0.8148995762,0.3941657143,0.1342802598,0.4307317144,0.8148995762,1.417331101,3.115840181
dense,block,3,3,12,1.149557464,0.8286137472,0.4046171429,0.1433964614,0.4424746163,0.8286137472,1.443268513,3.130839053
dense,block,3,3,13,1.164387805,0.83981739,0.4102171429,0.1426487162,0.448384602,0.83981739,1.458665071,3.173632671
dense,block,3,3,14,1.168990757,0.8413169134,0.4118914286,0.1419149501,0.4420504437,0.8413169134,1.464781539,3.227706916
dense,block,3,3,15,1.166482371,0.8400238258,0.4117428571,0.138499858,0.4458580825,0.8400238258,1.463304543,3.206633204
dense,block,3,3,16,1.16215068,0.8345377767,0.4066,0.1478290442,0.4430437383,0.8345377767,1.44888934,3.191025906
dense,block,3,3,17,1.170499869,0.8392167681,0.4098914286,0.1464784898,0.4437120011,0.8392167681,1.466174998,3.212198839
dense,block,3,3,18,1.189971807,0.8526094061,0.41556,0.1558000488,0.4554591397,0.8526094061,1.487128839,3.262746212
dense,block,3,3,19,1.211719247,0.8725827311,0.4226742857,0.1575790642,0.4692215331,0.8725827311,1.510437578,3.304712235
dense,block,3,3,20,1.22398439,0.8795925119,0.42456,0.1555314292,0.4710912409,0.8795925119,1.523317613,3.343579048
dense,pooled,1,1,1,0.3627217677,0.3162516298,0.04031428571,0.1059574666,0.2060080308,0.3162516298,0.4659034566,0.7761112699
dense,pooled,1,1,2,0.3540166806,0.3135798671,0.03653142857,0.1093955815,0.2071709217,0.3135798671,0.4549884852,0.739652838
dense,pooled,1,1,3,0.3588186326,0.3202664577,0.04066285714,0.1163294351,0.2149912536,0.3202664577,0.4590014005,0.7337416372
