instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1m_adj_jk_kilian_bs,0.004859,1.270,1.230,1.513,0.0114,228,205,1.917,0.002451,0.344,0.118,-1.158,-0.613,1.530,-1.487,0.000,1.0000,-0.028,3.230,0.321,0.445,28.294,3.823,2008-11,-0.652,WEAK
z_gc_1m_adj_jk_kilianfix_bs,0.004770,1.177,1.127,1.271,0.0099,228,205,1.822,0.002308,0.304,0.092,-1.002,-0.671,1.512,-1.547,0.000,1.0000,0.025,2.456,0.251,0.497,29.823,3.566,2008-11,-0.619,WEAK
z_gc_1m_adj_info_sum_bs,0.010516,2.454,2.402,5.770,0.0416,228,205,1.694,0.011766,1.608,2.584,-1.085,0.689,0.743,-3.878,0.000,1.0000,0.010,4.912,5.895,1.560,60.711,3.691,2001-04,-0.749,WEAK
z_gc_1m_adj_info_kilian_bs,0.011692,2.233,2.087,4.354,0.0340,228,205,1.379,0.014167,1.531,2.344,-0.560,-0.336,0.981,-4.553,0.000,1.0000,0.283,3.398,3.824,0.396,48.053,4.000,2011-08,0.753,WEAK
z_gc_1m_adj_info_kilianfix_bs,0.011000,1.977,1.885,3.553,0.0283,228,205,1.337,0.013804,1.428,2.040,-0.367,-0.463,0.997,-4.455,0.000,1.0000,0.333,2.655,3.368,0.217,39.893,2.793,2011-08,0.736,WEAK
z_gc_1y_jk_sum_bs,0.001258,0.436,0.439,0.193,0.0024,228,205,3.428,-0.000757,-0.150,0.023,-1.595,-0.588,1.038,0.161,0.000,1.0000,-0.184,2.764,0.148,0.083,3.779,0.327,2008-11,-0.681,WEAK
z_gc_1y_jk_kilian_bs,0.001624,0.490,0.474,0.225,0.0029,228,205,2.886,-0.000822,-0.127,0.016,-1.220,-0.792,0.954,-0.130,0.000,1.0000,-0.046,3.900,0.119,0.057,3.708,0.526,2008-11,-0.722,WEAK
z_gc_1y_jk_kilianfix_bs,0.001789,0.524,0.498,0.248,0.0031,228,205,2.733,-0.000794,-0.114,0.013,-1.123,-0.872,0.947,-0.212,0.000,1.0000,0.007,4.664,0.103,0.043,3.819,0.519,2008-11,-0.734,WEAK
z_gc_1y_info_sum_bs,0.010654,3.011,3.066,9.401,0.0892,228,205,2.449,0.011685,2.486,6.182,-2.341,0.293,1.082,-1.162,0.000,1.0000,-0.111,7.274,5.874,2.173,43.096,0.663,2008-10,0.624,WEAK
z_gc_1y_info_kilian_bs,0.014442,3.222,3.400,11.562,0.1113,228,205,2.018,0.016667,2.854,8.148,-1.451,-0.388,0.799,-1.738,0.000,1.0000,0.100,9.934,7.251,3.150,33.590,2.197,2008-10,0.669,above 10 only
z_gc_1y_info_kilianfix_bs,0.014597,3.055,3.215,10.333,0.1053,228,205,1.942,0.017164,2.757,7.604,-1.141,-0.569,0.753,-1.715,0.000,1.0000,0.155,8.373,6.915,2.983,27.207,2.432,2008-10,0.649,above 10 only
z_gc_path1y_sum_bs,0.003274,1.157,1.247,1.555,0.0165,228,205,3.427,0.002341,0.514,0.264,-1.634,-0.325,0.580,0.614,0.000,1.0000,-0.158,3.274,1.426,0.324,3.525,0.406,2008-07,-0.551,WEAK
z_gc_path1y_kilian_bs,0.005175,1.459,1.540,2.372,0.0288,228,205,2.865,0.004188,0.682,0.465,-1.315,-0.543,0.208,0.069,0.000,1.0000,-0.013,5.105,1.841,0.930,3.009,0.010,2008-11,-0.546,WEAK
z_gc_path1y_kilianfix_bs,0.005638,1.545,1.622,2.631,0.0309,228,205,2.725,0.004673,0.716,0.512,-1.215,-0.648,0.164,-0.004,0.000,1.0000,0.037,5.820,1.854,1.134,2.915,0.082,2008-11,-0.533,WEAK
z_ext_jk_mp_pm_bs,0.001753,0.527,0.533,0.284,0.0046,228,226,3.387,-0.000467,-0.079,0.006,-1.691,-0.212,1.241,-0.259,0.000,1.0000,-0.143,7.329,0.355,0.195,10.667,1.328,2008-11,-0.968,WEAK
z_ext_jk_mp_median_bs,0.000379,0.131,0.133,0.018,0.0002,228,226,3.068,-0.001973,-0.373,0.139,-1.705,0.345,1.536,-1.021,0.000,1.0000,-0.161,1.172,0.062,0.620,4.328,0.457,2008-11,-0.769,WEAK
