instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BVAR,hicp_yoy,44,0.056037,-0.022545,0.194281
z_gcs_1m_adj_sum,BVAR,hicp_yoy,45,0.058301,-0.019755,0.194844
z_gcs_1m_adj_sum,BVAR,hicp_yoy,46,0.060167,-0.010454,0.199492
z_gcs_1m_adj_sum,BVAR,hicp_yoy,47,0.061638,-0.012726,0.198478
z_gcs_1m_adj_sum,BVAR,hicp_yoy,48,0.062729,-0.009511,0.196129
z_gcs_1m_adj_sum,BVAR,stoxx,0,2.853740,2.043530,3.676835
z_gcs_1m_adj_sum,BVAR,stoxx,1,3.609958,2.258554,5.029840
z_gcs_1m_adj_sum,BVAR,stoxx,2,3.867515,2.315368,5.607917
z_gcs_1m_adj_sum,BVAR,stoxx,3,4.036059,2.287409,6.028230
z_gcs_1m_adj_sum,BVAR,stoxx,4,4.103309,2.290901,6.417935
z_gcs_1m_adj_sum,BVAR,stoxx,5,3.995755,1.875256,6.548446
z_gcs_1m_adj_sum,BVAR,stoxx,6,3.680906,1.352944,6.602964
z_gcs_1m_adj_sum,BVAR,stoxx,7,3.335290,0.908589,6.414812
z_gcs_1m_adj_sum,BVAR,stoxx,8,3.043102,0.577118,6.157252
z_gcs_1m_adj_sum,BVAR,stoxx,9,2.767640,0.156326,6.066571
z_gcs_1m_adj_sum,BVAR,stoxx,10,2.472192,-0.278765,5.735192
z_gcs_1m_adj_sum,BVAR,stoxx,11,2.164655,-0.748908,5.577696
z_gcs_1m_adj_sum,BVAR,stoxx,12,1.821814,-1.191764,5.256839
z_gcs_1m_adj_sum,BVAR,stoxx,13,1.495753,-1.534982,5.029177
z_gcs_1m_adj_sum,BVAR,stoxx,14,1.195210,-1.864384,4.878078
z_gcs_1m_adj_sum,BVAR,stoxx,15,0.924253,-2.268504,4.594032
z_gcs_1m_adj_sum,BVAR,stoxx,16,0.688366,-2.588140,4.386844
z_gcs_1m_adj_sum,BVAR,stoxx,17,0.489194,-2.892290,4.377411
z_gcs_1m_adj_sum,BVAR,stoxx,18,0.325071,-3.009823,4.330568
z_gcs_1m_adj_sum,BVAR,stoxx,19,0.191589,-3.047314,4.288314
z_gcs_1m_adj_sum,BVAR,stoxx,20,0.084207,-3.054624,4.025101
z_gcs_1m_adj_sum,BVAR,stoxx,21,0.000098,-3.151576,3.810453
z_gcs_1m_adj_sum,BVAR,stoxx,22,-0.062964,-3.310221,3.919584
